map_type	map_order	symmetric	trans_ax	pair_mat	xlim_left	xlim_right	ylim_bottom	ylim_top
triangle	0	False	False	False	0	mat_w	0	height
triangle	0	True	False	False	0	mat_w	height_m	height
triangle	0	False	True	False	0	height	mat_w	0
triangle	1	False	False	False	0	mat_w	height_m	0
triangle	1	True	False	False	0	mat_w	height_m	height
triangle	1	False	True	False	height_m	0	mat_w	0
triangle	0	True	True	False	height_m	height	mat_w	0
triangle	1	True	True	False	height_m	height	mat_w	0
rectangle	0	False	False	False	height	mat_w_height	0	height
rectangle	0	True	False	False	height	mat_w_height	height_m	height
rectangle	0	False	True	False	0	height	mat_w_height	height
rectangle	1	False	False	False	height	mat_w_height	height_m	0
rectangle	1	True	False	False	height	mat_w_height	height_m	height
rectangle	1	False	True	False	height_m	0	mat_w_height	height
rectangle	0	True	True	False	height_m	height	mat_w_height	height
rectangle	1	True	True	False	height_m	height	mat_w_height	height
square	0	False	False	False	0	mat_w	mat_h	0
square	0	True	False	False	-0.5	mat_w_0.5m	mat_h_0.5m	-0.5
square	0	False	True	False	-0.5	mat_w_0.5m	mat_h_0.5m	-0.5
square	0	True	True	False	-0.5	mat_w_0.5m	mat_h_0.5m	-0.5
square	1	False	False	False	-0.5	mat_w_0.5m	mat_h_0.5m	-0.5
square	1	True	False	False	-0.5	mat_w_0.5m	mat_h_0.5m	-0.5
square	1	False	True	False	-0.5	mat_w_0.5m	mat_h_0.5m	-0.5
square	1	True	True	False	-0.5	mat_w_0.5m	mat_h_0.5m	-0.5
square	1	False	False	False	-0.5	mat_w_0.5m	mat_h_0.5m	-0.5
triangle	0	False	False	True	0	mat_w	height_m	height
triangle	0	True	False	True	0	mat_w	height_m	height
triangle	0	False	True	True	height_m	height	mat_w	0
triangle	1	False	False	True	0	mat_w	height_m	height
triangle	1	True	False	True	0	mat_w	height_m	height
triangle	1	False	True	True	height_m	height	mat_w	0
triangle	0	True	True	True	height_m	height	mat_w	0
triangle	1	True	True	True	height_m	height	mat_w	0
rectangle	0	False	False	True	height	mat_w_height	height_m	height
rectangle	0	True	False	True	height	mat_w_height	height_m	height
rectangle	0	False	True	True	height_m	height	mat_w_height	height
rectangle	1	False	False	True	height	mat_w_height	height_m	height
rectangle	1	True	False	True	height	mat_w_height	height_m	height
rectangle	1	False	True	True	height_m	height	mat_w_height	height
rectangle	0	True	True	True	height_m	height	mat_w_height	height
rectangle	1	True	True	True	height_m	height	mat_w_height	height
square	0	False	False	True	-0.5	mat_w_0.5m	mat_h_0.5m	-0.5
square	0	True	False	True	-0.5	mat_w_0.5m	mat_h_0.5m	-0.5
square	0	False	True	True	-0.5	mat_w_0.5m	mat_h_0.5m	-0.5
square	0	True	True	True	-0.5	mat_w_0.5m	mat_h_0.5m	-0.5
square	1	False	False	True	-0.5	mat_w_0.5m	mat_h_0.5m	-0.5
square	1	True	False	True	-0.5	mat_w_0.5m	mat_h_0.5m	-0.5
square	1	False	True	True	-0.5	mat_w_0.5m	mat_h_0.5m	-0.5
square	1	True	True	True	-0.5	mat_w_0.5m	mat_h_0.5m	-0.5
square	1	False	False	True	-0.5	mat_w_0.5m	mat_h_0.5m	-0.5
