chrom	start	end	GC
chr2	0	100000	0.4358666666666667
chr2	100000	200000	0.40953
chr2	200000	300000	0.42189
chr2	300000	400000	0.43187
chr2	400000	500000	0.45861
chr2	500000	600000	0.44542
chr2	600000	700000	0.457
chr2	700000	800000	0.44323
chr2	800000	900000	0.46119
chr2	900000	1000000	0.44423
chr2	1000000	1100000	0.42008
chr2	1100000	1200000	0.42863
chr2	1200000	1300000	0.43845
chr2	1300000	1400000	0.43629
chr2	1400000	1500000	0.47412
chr2	1500000	1600000	0.51746
chr2	1600000	1700000	0.4922
chr2	1700000	1800000	0.50451
chr2	1800000	1900000	0.49301
chr2	1900000	2000000	0.45366
chr2	2000000	2100000	0.43171
chr2	2100000	2200000	0.4363
chr2	2200000	2300000	0.4214
chr2	2300000	2400000	0.39404
chr2	2400000	2500000	0.39108
chr2	2500000	2600000	0.46618
chr2	2600000	2700000	0.47448
chr2	2700000	2800000	0.52192
chr2	2800000	2900000	0.47372
chr2	2900000	3000000	0.42158
chr2	3000000	3100000	0.44628
chr2	3100000	3200000	0.49861
chr2	3200000	3300000	0.48101
chr2	3300000	3400000	0.47384
chr2	3400000	3500000	0.48655
chr2	3500000	3600000	0.46904
chr2	3600000	3700000	0.48848
chr2	3700000	3800000	0.4529
chr2	3800000	3900000	0.42033
chr2	3900000	4000000	0.43672
chr2	4000000	4100000	0.42265
chr2	4100000	4200000	0.39643
chr2	4200000	4300000	0.37312
chr2	4300000	4400000	0.36933
chr2	4400000	4500000	0.38694
chr2	4500000	4600000	0.36782
chr2	4600000	4700000	0.38287
chr2	4700000	4800000	0.37343
chr2	4800000	4900000	0.37811
chr2	4900000	5000000	0.40263
chr2	5000000	5100000	0.38984
chr2	5100000	5200000	0.36846
chr2	5200000	5300000	0.38179
chr2	5300000	5400000	0.40457
chr2	5400000	5500000	0.40951
chr2	5500000	5600000	0.41222
chr2	5600000	5700000	0.41658
chr2	5700000	5800000	0.42417
chr2	5800000	5900000	0.40786
chr2	5900000	6000000	0.42437
chr2	6000000	6100000	0.39623
chr2	6100000	6200000	0.38281
chr2	6200000	6300000	0.39227
chr2	6300000	6400000	0.39552
chr2	6400000	6500000	0.39774
chr2	6500000	6600000	0.38605
chr2	6600000	6700000	0.39751
chr2	6700000	6800000	0.41396
chr2	6800000	6900000	0.42059
chr2	6900000	7000000	0.43913
chr2	7000000	7100000	0.44811
chr2	7100000	7200000	0.40763
chr2	7200000	7300000	0.41302
chr2	7300000	7400000	0.40913
chr2	7400000	7500000	0.38813
chr2	7500000	7600000	0.38355
chr2	7600000	7700000	0.40821
chr2	7700000	7800000	0.40784
chr2	7800000	7900000	0.41109
chr2	7900000	8000000	0.41577
chr2	8000000	8100000	0.42657
chr2	8100000	8200000	0.41399
chr2	8200000	8300000	0.4303
chr2	8300000	8400000	0.44422
chr2	8400000	8500000	0.45972
chr2	8500000	8600000	0.50419
chr2	8600000	8700000	0.49027
chr2	8700000	8800000	0.38984
chr2	8800000	8900000	0.41143
chr2	8900000	9000000	0.39671
chr2	9000000	9100000	0.41484
chr2	9100000	9200000	0.47708
chr2	9200000	9300000	0.46031
chr2	9300000	9400000	0.46912
chr2	9400000	9500000	0.44082
chr2	9500000	9600000	0.41483
chr2	9600000	9700000	0.45379
chr2	9700000	9800000	0.50273
chr2	9800000	9900000	0.43365
chr2	9900000	10000000	0.42436
chr2	10000000	10100000	0.52228
chr2	10100000	10200000	0.49903
chr2	10200000	10300000	0.51524
chr2	10300000	10400000	0.51618
chr2	10400000	10500000	0.51432
chr2	10500000	10600000	0.47753
chr2	10600000	10700000	0.41284
chr2	10700000	10800000	0.48136
chr2	10800000	10900000	0.47247
chr2	10900000	11000000	0.50198
chr2	11000000	11100000	0.4414
chr2	11100000	11200000	0.46549
